# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
1.196308836680030963e+00 5.729976643010523674e+00 -1.274630442817625608e+00 1.185389807294372320e+09 6.655170981779308192e+01 7.414340002047115075e-01 -9.086709125199440296e-01 2.301963637413415142e+00 8.901332482676849622e+00 7.389998289929095021e-01 7.815609659086492078e-01 -1.033395999999999913e+04
3.689629166030666596e+00 5.285614101569749756e+00 -8.109823400973914520e-01 1.185389807286399364e+09 6.567482190025559419e+01 7.315207206774146931e-01 8.613266900312190888e-01 1.231328195742765308e+00 8.926990507165006861e+00 6.867841861948594806e-01 3.999073716249344490e-01 -1.033245999999999913e+04
6.726391645683192921e-01 4.683312261156230782e+00 7.572391576963358531e-03 1.185389807292119503e+09 6.859283632611216319e+01 7.691847085703598097e-01 -9.246770891685280880e-01 9.445694756603087994e-01 8.160053501460463821e+00 7.003933569259592762e-01 2.259253804223240042e-02 -1.033240999999999985e+04
4.677915732890010503e+00 8.728616629837582241e-01 -1.142212544672795316e+00 1.185389807304154158e+09 5.909876751023892183e+01 6.774803885445979112e-01 -9.282923115427291760e-01 2.561651138141827211e-01 8.145270228430188553e+00 6.650601313511128598e-01 7.894822133786318918e-01 -1.033171999999999935e+04
4.061064222439126681e+00 2.464230963926442808e+00 6.393131390854777107e-01 1.185389807325485945e+09 7.454224596523188495e+01 7.027534721671356843e-01 9.306090050198511099e-01 2.431073364635724321e+00 8.587255291152434467e+00 7.172929470649477279e-01 6.062324995748383794e-01 -1.033095999999999913e+04
1.523329907011238937e+00 2.425369844855652879e+00 6.546872915236942037e-01 1.185389807333860636e+09 5.361558848225103446e+01 6.691399778712375790e-01 5.013283499557320555e-01 7.162151551535329563e-01 7.635804747804760595e+00 2.945548509736304332e-01 3.603583204239446669e-02 -1.033095000000000073e+04
1.537713406035519759e+00 4.080947238894840012e+00 5.874009120593367550e-01 1.185389807311877966e+09 6.963289598838721872e+01 8.045649821199345464e-01 -9.824920579940086274e-01 8.105166913542983798e-01 8.297394610080878863e+00 6.540466117743154451e-01 6.475873619213687871e-01 -1.033063999999999942e+04
5.471120416977596435e+00 6.255201239277612402e+00 -1.248069063977049975e+00 1.185389807292647362e+09 5.684037141424026629e+01 6.987663077470522843e-01 -6.239460466997281962e-01 1.547920405961882018e-01 8.122415461595796415e+00 1.376945204924937827e-01 5.480764010078571502e-01 -1.032992000000000007e+04
6.909001436279422759e-01 4.783952935332981049e+00 -1.547021694203939111e-02 1.185389807293848276e+09 6.301795377619306748e+01 5.969519065239724531e-01 6.560960735931489207e-01 1.758048268490346011e+00 8.329234898719798608e+00 7.783225801855285786e-01 4.024922249906282001e-02 -1.032987999999999920e+04
6.050942243786467500e+00 2.824614327166433014e+00 8.272494131677068374e-01 1.185389807327012777e+09 6.934341889672295167e+01 7.365266350793695516e-01 2.465938879344698742e-01 1.455404525871891952e+00 8.378440061264273098e+00 6.996688756282188892e-01 7.212082089578675248e-01 -1.032987999999999920e+04
3.995165854189055565e+00 2.929922071213464818e+00 8.891026678464496458e-01 1.185389807327667952e+09 6.140950964440926185e+01 7.901206129029754166e-01 9.328009834269577194e-01 8.299661135400295819e-01 8.799317970277549250e+00 6.186170247682839518e-01 3.720250842846942185e-02 -1.032971999999999935e+04
