# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
2.042556739863969462e+00 2.301583365665278880e+00 7.841460661431925994e-01 1.180922494502223969e+09 8.678218354267908552e+00 1.618668368741230379e-01 -8.336313411154417929e-01 4.866585067680400667e-01 6.092071614034805016e+00 4.845647838792143114e-01 8.769271368660838117e-01 -5.835909999999999854e+04
2.002247193087613120e+00 1.889076323576882599e+00 1.242059903293155410e+00 1.180922494500702858e+09 8.704666179101472778e+00 2.506368423041328564e-01 9.703524987324601003e-01 1.383200627294611351e+00 6.135892678506845499e+00 5.296255216536023269e-01 -3.815734663727248233e-01 -5.835850000000000000e+04
8.164484555080483430e-01 7.378637961752938790e-02 9.834501790147968103e-01 1.180922494487440586e+09 8.524107604415583239e+00 2.198449932461359613e-01 -9.350134496969444431e-01 4.596413033462163344e-01 5.497332536709061301e+00 4.148654958335712961e-01 -1.337744965250981244e-01 -5.835848999999999796e+04
5.552471159535982359e+00 2.184140340494852506e+00 6.947867480226537218e-01 1.180922494500574112e+09 8.693915983897255728e+00 1.793251071870594071e-01 3.661625519752678692e-01 5.699316478359517379e-01 5.464898340925500086e+00 4.916231487364509656e-01 4.661292739247632211e-01 -5.835798000000000320e+04
7.179973420821537111e-01 2.175315945696295383e+00 6.912981901487907921e-01 1.180922494501102448e+09 8.606765300555839104e+00 2.159427043610154251e-01 7.058218207288140533e-01 2.508602529267360826e+00 5.932608434738911640e+00 4.173138588457588338e-01 3.756650852713466215e-01 -5.835779000000000087e+04
9.650995241082533926e-01 2.321930147185680138e+00 9.586684765941314579e-01 1.180922494500489235e+09 8.575745716632274807e+00 1.344160555029336457e-01 -9.282467098369125980e-01 7.923758218812056997e-01 6.291948062813506048e+00 5.763480484015370831e-01 -6.093497533076754902e-01 -5.835755999999999767e+04
6.194400859426306916e+00 1.989735371052926416e+00 1.773817077532080233e-01 1.180922494493843794e+09 8.676965992386884707e+00 1.649935017618461564e-01 -9.927755179665069818e-01 1.634867799276161326e+00 6.026314208244765602e+00 5.921015237788588292e-01 -5.865836875455210375e-01 -5.835730000000000291e+04
6.660339948816713651e-01 2.160150858236791205e+00 7.771551378645570329e-01 1.180922494502389669e+09 8.531953920380923151e+00 2.759599615482308255e-01 -9.117236528222122383e-01 8.939840853665520504e-01 6.344650611902532766e+00 4.290940419535838046e-01 -3.167875216312862618e-01 -5.835701000000000204e+04
3.911089871955265362e+00 2.301979096380958545e+00 9.235959971124784174e-01 1.180922494501473427e+09 8.591338811764812178e+00 1.809621072950651777e-01 -7.382668978401762949e-01 2.238485337314453094e+00 5.894238061227551562e+00 4.409320201506664594e-01 5.688086814183408446e-01 -5.835695999999999913e+04
6.096351844634744666e+00 2.101745858534726175e+00 3.089048363264639829e-01 1.180922494497608423e+09 8.684383177052339420e+00 1.381217703491632032e-01 -8.470584165554160272e-01 1.172164904862607049e+00 5.917039594441518169e+00 6.222717959623677020e-01 -3.827807901268538426e-01 -5.835693000000000029e+04
2.452009803176663727e+00 2.055429061827656056e+00 3.457108924004814177e-01 1.180922494498534918e+09 8.816420131376450087e+00 1.325135620857471053e-01 -8.179898052604805958e-01 1.723256738073391525e-01 5.868934002997863608e+00 6.173285409068957064e-01 5.419991063485647409e-01 -5.835691999999999825e+04
5.498430926253916162e+00 2.158598428736584474e+00 9.498748203519626898e-01 1.180922494501974583e+09 8.515706212767543803e+00 3.740897664021016200e-01 7.188959769305516279e-01 1.261271121090467240e+00 5.861063085187319999e+00 5.462072154045390787e-02 7.586045890287073101e-01 -5.835680000000000291e+04
